event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_10,10,1846146,910,943,01:23.0,01:26.3,1,23,3.3,1,1,left_to_right,8,player_possession,57146,C. Roccaro,6,RCB,2337,Chicago RS,-40.52,-26.5,5,wide_right,1,defensive_third,False,-26.02,-29.38,5,wide_right,1,defensive_third,False,3,drawing,0,0,10,1,True,True,True,True,1,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,0,build_up,10,high_block,7,goal_kick_for,,,False,False,14.55,-11.23,1,forward,False,False,16.4,2,running,19.63,8.9,-10.74,1.92,3.99,42.44,30.01,-12.43,53.08,51.01,-2.07,False,False,9,goal_kick_reception,1,pass,False,False,True,False,False,False,False,,,,,,,2,unsuccessful,7_17,,817610,J. Joseph,17.0,RW,1.05,-24.34,5,wide_right,2,middle_third,False,,,,,,,,0.399,True,0.0018,False,3,0,3,0,2,1,3,0,0,1,2,1,3,1,3,8,8,True,424.0,3,True,True,True,3,last,1,through,27.54,2,medium,10.55,1,forward,,,,,,,True,9,3,6,9,10,1,True,True,,True,False
8_11,11,1846146,965,990,01:28.5,01:31.0,1,28,2.5,1,2,right_to_left,8,player_possession,149954,K. Strom,4,LCB,2334,Orlando Pride,-13.39,29.24,1,wide_left,2,middle_third,False,-31.3,33.17,1,wide_left,1,defensive_third,False,3,drawing,0,0,11,1,True,False,True,True,1,False,5,chaotic,5,chaotic,0,build_up,10,high_block,15,defending_direct,6,direct,,,11,throw_in_for,False,False,17.6,167.62,2,backward,False,False,26.51,4,sprinting,2.56,2.02,-0.54,23.34,12.99,36.73,44.29,7.56,31.66,42.01,10.35,False,False,2,pass_interception,1,pass,False,False,True,False,False,False,False,,,,,,,2,unsuccessful,7_20,,441597,E. Madril Sams,6.0,RCB,-29.55,21.8,1,wide_left,1,defensive_third,False,,,,,,,,0.6207,True,0.0004,False,2,1,0,0,0,0,0,0,0,1,1,1,2,0,0,9,9,False,,,,,,,,,,11.5,1,short,-81.25,4,sideway_right,,,,,,,False,10,9,1,10,10,0,True,True,True,True,False
8_12,12,1846146,1174,1185,01:49.4,01:50.5,1,49,1.1,1,2,right_to_left,8,player_possession,149882,K. Abello,2,LB,2334,Orlando Pride,-42.38,31.32,1,wide_left,1,defensive_third,False,-42.01,25.49,1,wide_left,1,defensive_third,False,3,drawing,0,0,12,1,False,False,False,True,5,False,0,build_up,10,high_block,1,create,9,medium_block,5,chaotic,5,chaotic,11,throw_in_for,,,False,False,5.25,-86.37,4,sideway_right,False,False,18.95,2,running,4.09,1.44,-2.65,-2.38,-1.34,40.0,40.67,0.67,57.38,56.34,-1.04,False,False,7,throw_in_reception,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_22,False,149954,K. Strom,4.0,LCB,-55.48,13.71,2,half_space_left,1,defensive_third,False,-56.73,12.95,2,half_space_left,1,defensive_third,False,0.9908,False,0.0013,False,4,0,2,0,2,0,2,0,0,4,0,3,3,2,2,7,7,True,4141.0,2,,False,False,,,,,17.89,2,medium,-138.83,2,backward,16.88,2,medium,-153.74,2,backward,False,9,10,-1,9,9,0,True,True,,True,False
8_13,13,1846146,1196,1215,01:51.6,01:53.5,1,51,1.9,1,2,right_to_left,8,player_possession,149954,K. Strom,4,LCB,2334,Orlando Pride,-56.73,12.95,2,half_space_left,1,defensive_third,False,-53.62,15.14,2,half_space_left,1,defensive_third,False,3,drawing,0,0,12,2,False,False,False,False,5,False,0,build_up,10,high_block,1,create,9,medium_block,5,chaotic,5,chaotic,,,,,False,False,3.74,35.15,1,forward,False,False,14.19,1,jogging,12.81,2.24,-10.57,-0.76,1.57,55.97,55.19,-0.78,55.76,53.43,-2.33,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-153.74,2,backward,16.88,2,medium,1,successful,7_28,False,62389,Angelina,12.0,LM,-25.54,22.51,1,wide_left,1,defensive_third,False,-25.17,23.76,1,wide_left,1,defensive_third,False,0.6975,False,0.0002,False,4,1,2,0,2,0,4,0,0,4,0,1,3,1,4,9,9,True,4141.0,2,,True,False,2,second_last,1,through,29.03,2,medium,14.71,1,forward,20.95,2,medium,5.84,1,forward,True,10,5,5,10,10,0,True,True,True,True,False
8_14,14,1846146,1226,1226,01:54.6,01:54.6,1,54,0.0,1,2,right_to_left,8,player_possession,62389,Angelina,12,LM,2334,Orlando Pride,-25.17,23.76,1,wide_left,1,defensive_third,False,-25.17,23.76,1,wide_left,1,defensive_third,False,3,drawing,0,0,12,3,False,False,True,False,5,False,0,build_up,10,high_block,1,create,9,medium_block,5,chaotic,5,chaotic,,,,,False,False,0.0,71.22,3,sideway_left,,,,,,3.25,3.25,0.0,2.65,2.65,27.82,27.82,0.0,52.35,52.35,0.0,True,True,1,pass_reception,1,pass,True,False,False,False,False,False,False,5.84,1,forward,20.95,2,medium,1,successful,7_29,False,610122,S. Yates,16.0,LW,-27.04,33.29,1,wide_left,1,defensive_third,False,-24.72,33.71,1,wide_left,1,defensive_third,False,0.9903,False,0.0003,False,1,0,0,0,0,0,0,0,0,1,0,,,,,4,4,True,4141.0,2,,False,False,,,,,9.71,1,short,101.1,3,sideway_left,9.8,1,short,112.62,3,sideway_left,False,5,7,-2,5,5,0,True,True,True,True,False
8_15,15,1846146,1236,1288,01:55.6,02:00.8,1,55,5.2,1,2,right_to_left,8,player_possession,610122,S. Yates,16,LW,2334,Orlando Pride,-24.72,33.71,1,wide_left,1,defensive_third,False,-1.36,17.97,2,half_space_left,2,middle_third,False,3,drawing,0,0,13,1,False,True,True,True,1,True,1,create,9,medium_block,9,medium_block,1,create,0,build_up,10,high_block,,,,,False,False,28.46,-33.97,1,forward,False,True,19.61,2,running,8.39,1.95,-6.44,3.35,13.54,28.07,14.9,-13.17,51.65,41.46,-10.19,False,True,1,pass_reception,1,pass,False,False,True,False,False,False,False,112.62,3,sideway_left,9.8,1,short,2,unsuccessful,7_34,,151602,A. Watt,17.0,RW,8.17,-13.21,4,half_space_right,2,middle_third,False,,,,,,,,0.8075,False,0.0116,False,5,4,0,0,0,0,3,0,0,4,1,1,2,0,4,3,5,False,,,,,,,,,,32.6,3,long,-73.0,4,sideway_right,,,,,,,True,6,4,2,6,7,1,True,True,True,True,False
8_16,16,1846146,1301,1320,02:02.1,02:04.0,2,2,1.9,1,1,left_to_right,8,player_possession,816413,H. Anderson,4,LCB,2337,Chicago RS,-17.13,-5.01,3,center,2,middle_third,False,-18.38,3.44,3,center,1,defensive_third,False,3,drawing,0,0,14,2,True,False,True,True,1,False,1,create,9,medium_block,0,build_up,10,high_block,9,medium_block,1,create,,,,,False,False,8.2,98.41,3,sideway_left,False,False,16.14,2,running,7.88,3.11,-4.78,22.04,15.71,39.17,34.09,-5.08,32.96,39.29,6.33,False,True,2,pass_interception,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_37,False,151186,T. Malham,2.0,LB,-23.3,3.2,3,center,1,defensive_third,False,-25.52,7.52,3,center,1,defensive_third,False,0.9898,False,0.0003,False,3,0,1,1,0,0,1,0,0,3,0,3,2,1,1,7,7,True,433.0,3,False,False,False,,,,,4.93,1,short,-177.21,2,backward,4.84,1,short,-151.74,2,backward,False,9,10,-1,9,10,1,True,True,True,True,False
8_17,17,1846146,1334,1346,02:05.4,02:06.6,2,5,1.2,1,1,left_to_right,8,player_possession,151186,T. Malham,2,LB,2337,Chicago RS,-25.52,7.52,3,center,1,defensive_third,False,-26.53,6.81,3,center,1,defensive_third,False,3,drawing,0,0,15,1,False,False,False,True,2,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,1.38,-144.89,2,backward,,,4.25,1,jogging,8.42,9.45,1.03,12.97,10.56,38.49,37.09,-1.4,42.03,44.44,2.41,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,-151.74,2,backward,4.84,1,short,1,successful,7_38,False,57146,C. Roccaro,6.0,RCB,-28.61,-5.86,3,center,1,defensive_third,False,-31.34,-9.95,4,half_space_right,1,defensive_third,False,0.9954,False,0.0,False,3,0,0,0,0,0,2,0,0,3,0,3,3,2,2,8,8,True,4123.0,3,False,False,False,,,,,12.84,1,short,-99.32,4,sideway_right,15.01,2,medium,-99.36,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_18,18,1846146,1365,1387,02:08.5,02:10.7,2,8,2.2,1,1,left_to_right,8,player_possession,57146,C. Roccaro,6,RCB,2337,Chicago RS,-31.34,-9.95,4,half_space_right,1,defensive_third,False,-30.04,-15.63,4,half_space_right,1,defensive_third,False,3,drawing,0,0,15,2,False,False,True,False,2,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,5.9,-77.11,4,sideway_right,False,False,9.65,1,jogging,11.3,11.34,0.04,7.18,5.96,38.52,36.0,-2.52,47.82,49.04,1.22,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-99.36,4,sideway_right,15.01,2,medium,1,successful,7_41,False,57112,N. Kuikka,8.0,RB,-21.31,-31.11,5,wide_right,1,defensive_third,False,-17.32,-33.14,5,wide_right,2,middle_third,False,0.9952,False,0.0002,False,2,0,1,0,1,0,2,0,0,2,0,1,2,1,2,8,9,True,433.0,3,False,False,False,,,,,17.77,2,medium,-60.58,4,sideway_right,14.54,1,short,-56.1,4,sideway_right,True,10,8,2,10,10,0,True,True,True,True,False
8_19,19,1846146,1402,1416,02:12.2,02:13.6,2,12,1.4,1,1,left_to_right,8,player_possession,57112,N. Kuikka,8,RB,2337,Chicago RS,-17.32,-33.14,5,wide_right,2,middle_third,False,-13.22,-33.83,5,wide_right,2,middle_third,False,3,drawing,0,0,17,1,False,True,True,True,1,True,6,direct,15,defending_direct,9,medium_block,1,create,1,create,9,medium_block,,,,,False,False,4.17,-9.55,1,forward,False,False,10.63,1,jogging,9.29,4.23,-5.06,6.85,9.78,24.17,23.0,-1.17,48.15,45.22,-2.93,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-56.1,4,sideway_right,14.54,1,short,2,unsuccessful,7_44,,817610,J. Joseph,17.0,RW,6.49,-19.38,4,half_space_right,2,middle_third,False,,,,,,,,0.4245,True,0.003,False,2,0,2,1,1,0,2,0,0,1,1,2,2,2,2,5,6,True,424.0,3,True,True,False,2,second_last,2,around,24.44,2,medium,36.25,1,forward,,,,,,,True,8,4,4,8,8,0,True,True,True,True,False
8_20,20,1846146,1461,1504,02:18.1,02:22.4,2,18,4.3,1,2,right_to_left,8,player_possession,149873,A. Moorhouse,1,GK,2334,Orlando Pride,-42.31,17.36,2,half_space_left,1,defensive_third,False,-43.9,10.89,2,half_space_left,1,defensive_third,False,3,drawing,0,0,18,1,True,False,False,True,3,False,1,create,9,medium_block,2,finish,8,low_block,15,defending_direct,6,direct,,,,,False,False,6.59,-103.81,4,sideway_right,False,False,6.28,1,jogging,16.23,17.52,1.29,13.99,6.76,56.3,50.66,-5.64,41.01,48.24,7.23,False,False,2,pass_interception,5,possession_loss,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,,False
